track_id,taala,beat_F-measure,beat_Cemgil,beat_Cemgil Best Metric Level,beat_Goto,beat_P-score,beat_Correct Metric Level Continuous,beat_Correct Metric Level Total,beat_Any Metric Level Continuous,beat_Any Metric Level Total,beat_Information gain,downbeat_F-measure,downbeat_Cemgil,downbeat_Cemgil Best Metric Level,downbeat_Goto,downbeat_P-score,downbeat_Correct Metric Level Continuous,downbeat_Correct Metric Level Total,downbeat_Any Metric Level Continuous,downbeat_Any Metric Level Total,downbeat_Information gain
10003,adi,0.9200819672131146,0.8014262607657844,0.8014262607657844,1.0,0.9481037924151696,0.41916167664670656,0.8922155688622755,0.41916167664670656,0.8922155688622755,0.46489435289645437,0.35251798561151076,0.3199521875447463,0.46352840220567987,0.0,0.41284403669724773,0.0,0.0,0.027522935779816515,0.11926605504587157,0.35126136568732896
10004,adi,0.9113622843545509,0.8222232341709866,0.8222232341709866,1.0,0.9385863267670915,0.3522595596755504,0.8771726535341831,0.3522595596755504,0.8771726535341831,0.43739759488128555,0.5538461538461539,0.5060808283366024,0.7291778045214571,0.0,0.47297297297297297,0.0045045045045045045,0.0045045045045045045,0.36936936936936937,0.8063063063063063,0.523658327115952
10006,adi,0.8536953242835598,0.7766128834420382,0.7766128834420382,1.0,0.8164383561643835,0.2821917808219178,0.6328767123287671,0.2821917808219178,0.6328767123287671,0.4108808655625558,0.40579710144927544,0.37052362670087735,0.5750074075250996,0.0,0.49,0.0,0.0,0.3,0.49,0.37879538751302133
10007,adi,0.9070262597586941,0.7384293556060612,0.7384293556060612,0.0,0.9755102040816327,0.1292517006802721,0.8761904761904762,0.1292517006802721,0.8761904761904762,0.40069640451264205,0.6007326007326007,0.4801359520110926,0.7064578045030877,0.0,0.4946808510638298,0.005319148936170213,0.010638297872340425,0.1276595744680851,0.8351063829787234,0.6203789171175685
10008,adi,0.8220502901353965,0.7614544191669875,0.7614544191669875,1.0,0.8291746641074856,0.3723608445297505,0.7850287907869482,0.3723608445297505,0.7850287907869482,0.4311291875131183,0.4255319148936171,0.39830073732747917,0.5770367540012067,0.0,0.4619883040935672,0.0,0.0,0.17543859649122806,0.4327485380116959,0.32210484017392105
10010,adi,0.726207906295754,0.6347820295085035,0.6347820295085035,0.0,0.7004255319148937,0.06127659574468085,0.45617021276595743,0.06127659574468085,0.45617021276595743,0.2056667837360629,0.30566037735849055,0.27584632163467837,0.4315486343039968,0.0,0.4,0.0,0.0,0.02619047619047619,0.1976190476190476,0.183660555860742
10012,adi,0.8235294117647058,0.6930605312848503,0.6930605312848503,0.0,0.8158347676419966,0.12220309810671257,0.6540447504302926,0.12220309810671257,0.6540447504302926,0.380309685849039,0.41379310344827586,0.3550811435105676,0.5222926441771769,0.0,0.42,0.005,0.01,0.085,0.32,0.3281772981386622
10013,adi,0.9457364341085271,0.8786588969481153,0.8786588969481153,1.0,0.9253731343283582,0.46766169154228854,0.8557213930348259,0.46766169154228854,0.8557213930348259,0.5374725057750241,0.411764705882353,0.375845212202544,0.5857078974874707,0.0,0.3974358974358974,0.0,0.0,0.1282051282051282,0.2948717948717949,0.3732557259678828
10017,adi,0.8777614138438882,0.7835943181046543,0.7835943181046543,0.0,0.7894736842105263,0.10526315789473684,0.5763157894736842,0.10526315789473684,0.5763157894736842,0.4757748572538012,0.5352112676056338,0.5096923386500818,0.7243815865186927,0.0,0.375,0.0,0.0,0.125,0.4326923076923077,0.5592540036121196
10019,adi,0.9294117647058824,0.8178372421775992,0.8178372421775992,1.0,0.9589465530596437,0.3005422153369481,0.9147947327652982,0.3005422153369481,0.9147947327652982,0.40447246712695467,0.6012024048096192,0.5529875578829111,0.8116175079828807,0.0,0.49853372434017595,0.0,0.0,0.187683284457478,0.8533724340175953,0.5809098082544447
10022,adi,0.9200968523002421,0.7903121748464483,0.7903121748464483,1.0,0.9523809523809523,0.2714285714285714,0.9142857142857143,0.2714285714285714,0.9142857142857143,0.4633379328837314,0.6,0.5436910368709079,0.7424286292022553,0.0,0.5,0.018518518518518517,0.018518518518518517,0.3333333333333333,0.8518518518518519,0.6304898030115696
10023,adi,0.8445873526259379,0.7652394654669552,0.7652394654669552,0.0,0.7561436672967864,0.1323251417769376,0.5179584120982986,0.1323251417769376,0.5179584120982986,0.47083121193498134,0.4945054945054946,0.44473241694914317,0.6532899459462506,0.0,0.4351145038167939,0.007633587786259542,0.015267175572519083,0.16030534351145037,0.5190839694656488,0.43365594693571025
10024,adi,0.6913580246913581,0.6056775324492564,0.6105686612284599,0.0,0.6182795698924731,0.10752688172043011,0.4032258064516129,0.10752688172043011,0.4032258064516129,0.2490001676710462,0.19161676646706585,0.17381183129922873,0.3011648457572599,0.0,0.4621212121212121,0.0,0.0,0.07575757575757576,0.08333333333333333,0.14267280456676754
10025,adi,0.6599777034559643,0.5530201670415085,0.5530201670415085,0.0,0.688663282571912,0.07952622673434856,0.38747884940778343,0.07952622673434856,0.38747884940778343,0.16380061430248594,0.2777777777777778,0.2382809581608153,0.36673835498038954,0.0,0.375886524822695,0.0070921985815602835,0.0070921985815602835,0.07801418439716312,0.19148936170212766,0.2366072177998033
10028,adi,0.9155722326454033,0.8354119934928816,0.8354119934928816,0.0,0.9080882352941176,0.22426470588235295,0.8621323529411765,0.22426470588235295,0.8621323529411765,0.5130944189883957,0.5070422535211268,0.4699746158039035,0.6290850259618826,0.0,0.4489795918367347,0.006802721088435374,0.006802721088435374,0.20408163265306123,0.6938775510204082,0.4737139019694017
10030,adi,0.9060955518945635,0.7824503602593523,0.7824503602593523,0.0,0.9845679012345679,0.14814814814814814,0.8395061728395061,0.14814814814814814,0.8395061728395061,0.41331149896511893,0.5806451612903226,0.5162977623735074,0.7379701734594047,0.0,0.5,0.011363636363636364,0.011363636363636364,0.125,0.7159090909090909,0.6489302725953294
10032,adi,0.9634703196347032,0.8442456927589286,0.8442456927589286,1.0,0.972972972972973,0.7027027027027027,0.9481981981981982,0.7027027027027027,0.9481981981981982,0.48704604990545736,0.47619047619047616,0.4200814248332064,0.6242664574263155,0.0,0.362962962962963,0.0,0.0,0.1259259259259259,0.4740740740740741,0.49013615919717124
10033,adi,0.9911242603550295,0.8889345164927441,0.8889345164927441,1.0,0.9911242603550295,0.606508875739645,0.985207100591716,0.606508875739645,0.985207100591716,0.5570063818862389,0.5985401459854015,0.5442236933615181,0.7749613075703763,0.0,0.43617021276595747,0.010638297872340425,0.010638297872340425,0.40425531914893614,0.7127659574468085,0.6269491752398473
10036,adi,0.9137134052388289,0.8474437073914112,0.8474437073914112,0.0,0.86608442503639,0.1804949053857351,0.7496360989810772,0.1804949053857351,0.7496360989810772,0.4880229481599225,0.49469964664310956,0.45784539413400255,0.6288351788172933,0.0,0.46116504854368934,0.0048543689320388345,0.009708737864077669,0.13106796116504854,0.47572815533980584,0.40082137789244204
10039,adi,0.9326732673267327,0.8455943526208107,0.8455943526208107,1.0,0.9295499021526419,0.3639921722113503,0.9001956947162426,0.3639921722113503,0.9001956947162426,0.5076928518415791,0.4954954954954955,0.4565384113223104,0.6600959804114904,0.0,0.41509433962264153,0.006289308176100629,0.012578616352201259,0.11949685534591195,0.4779874213836478,0.4238563277839305
10040,adi,0.9753810082063306,0.8843055382851943,0.8843055382851943,1.0,0.9882903981264637,0.5128805620608899,0.9859484777517564,0.5128805620608899,0.9859484777517564,0.57132140735705,0.5730337078651685,0.54304215533831,0.7642513233548134,0.0,0.4435483870967742,0.0,0.0,0.2661290322580645,0.6532258064516129,0.5591621394598019
10043,adi,0.8622222222222223,0.8224830461112244,0.8224830461112244,1.0,0.8185654008438819,0.510548523206751,0.7172995780590717,0.510548523206751,0.7172995780590717,0.4640048390771493,0.2644628099173554,0.2485921456295881,0.42271208099887014,0.0,0.3894736842105263,0.0,0.0,0.14736842105263157,0.16842105263157894,0.2739871625113498
10048,adi,0.923368022705771,0.7850762605959124,0.7850762605959124,1.0,0.9588785046728971,0.42429906542056073,0.9271028037383178,0.42429906542056073,0.9271028037383178,0.44822864188834716,0.5951219512195122,0.5457544294299982,0.7580273691168041,0.0,0.4892086330935252,0.007194244604316547,0.014388489208633094,0.38848920863309355,0.8273381294964028,0.570518682261821
10049,adi,0.9990732159406859,0.9431112763081937,0.9431112763081937,1.0,0.9981481481481481,0.9981481481481481,0.9981481481481481,0.9981481481481481,0.9981481481481481,0.631198429039076,0.3043478260869565,0.2885083073649561,0.44757460629727175,0.0,0.37666666666666665,0.0,0.0,0.006666666666666667,0.043333333333333335,0.384655307719796
